x,y,height,faa,inv_msk,inv_pad
-1733000.0,-445000.0,1500,-5.63563350884705,False,False
-1731000.0,-445000.0,1500,-6.6981958488340325,False,False
-1729000.0,-445000.0,1500,-8.143433892103225,False,False
-1727000.0,-445000.0,1500,-9.809879565232125,False,False
-1725000.0,-445000.0,1500,-11.448224701472302,False,False
-1723000.0,-445000.0,1500,-12.825851860941164,False,False
-1721000.0,-445000.0,1500,-13.767179751464981,False,False
-1719000.0,-445000.0,1500,-14.160918480333622,False,False
-1717000.0,-445000.0,1500,-14.021040540016019,False,False
-1715000.0,-445000.0,1500,-13.459867536841926,False,False
-1713000.0,-445000.0,1500,-12.56091408337991,False,False
-1711000.0,-445000.0,1500,-11.33913267822278,False,False
-1709000.0,-445000.0,1500,-9.843438278682937,False,False
-1707000.0,-445000.0,1500,-8.328302337386432,False,False
-1705000.0,-445000.0,1500,-7.240737056920232,False,False
-1703000.0,-445000.0,1500,-6.842178130967242,False,False
-1701000.0,-445000.0,1500,-6.91530168260704,False,False
-1699000.0,-445000.0,1500,-7.048535738620306,False,False
-1697000.0,-445000.0,1500,-6.97602239401539,False,False
-1695000.0,-445000.0,1500,-6.576354435989106,False,False
-1693000.0,-445000.0,1500,-5.8779699717578415,False,False
-1691000.0,-445000.0,1500,-5.137325121436776,False,False
-1689000.0,-445000.0,1500,-4.67530192422707,False,False
-1687000.0,-445000.0,1500,-4.75128406415561,False,False
-1685000.0,-445000.0,1500,-5.588758820861164,False,False
-1683000.0,-445000.0,1500,-7.2929302552438715,False,False
-1681000.0,-445000.0,1500,-9.757122063616615,False,False
-1679000.0,-445000.0,1500,-12.74959938877527,False,False
-1677000.0,-445000.0,1500,-15.908546193387652,False,False
-1675000.0,-445000.0,1500,-18.78774057050951,False,False
-1673000.0,-445000.0,1500,-21.142190025910526,False,False
-1671000.0,-445000.0,1500,-23.094007206119294,False,False
-1669000.0,-445000.0,1500,-24.93233145542168,False,False
-1667000.0,-445000.0,1500,-26.810664063390576,False,False
-1665000.0,-445000.0,1500,-28.694860636637152,False,False
-1663000.0,-445000.0,1500,-30.45334184938028,False,False
-1661000.0,-445000.0,1500,-31.889200861481513,False,False
-1659000.0,-445000.0,1500,-32.804691071857796,False,False
